property,address,price,duration,number of bedrooms
3 bedroom semi-detached duplex for rent,"  Urban Shelter/promenade Estate, Lokogoma District, Abuja","3,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Jabi, Abuja","9,000,000", per annum,2
4 bedroom detached duplex for rent,"  Isheri Oshun Via Ijegun, Alimosho, Isheri, Lagos","1,500,000", per annum,4
4 bedroom house for rent,"  Megamond, Lekki County Estate, Ikota, Lekki, Lagos","5,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Illason New Road, Lekki Phase 1, Lekki, Lagos","3,800,000", per annum,2
2 bedroom flat / apartment for rent,"  Nike Art Gallery Road, Lekki Phase 1, Lekki, Lagos","5,500,000", per annum,2
Self contain (single rooms) for rent,"  Prime Water Garden Estate, Off Freedom Way, Lekki Phase 1, Lekki, Lagos","700,000", per annum,1
2 bedroom flat / apartment for rent,"  Salem Opposite Nicon Town, Ilasan, Lekki, Lagos","3,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Off Providence Street, Lekki Phase 1, Lekki, Lagos","5,500,000", per annum,3
4 bedroom terraced duplex for rent,"  Ikoyi, Lagos","10,000,000", per annum,4
Self contain (single rooms) for rent,"  Ologolo, Lekki, Lagos","800,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Chevron, Lekki, Lagos","280,000", per month,1
3 bedroom flat / apartment for rent,"  Industrial Layout, Amuwo Odofin, Lagos","2,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Ayeteju After Bogije, Onosa, Ibeju Lekki, Lagos","1,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Close To Paradise Estate 1, Life Camp, Abuja","3,500,000", per annum,3
Self contain (single rooms) for rent,"  Ologolo, Lekki, Lagos","750,000", per annum,1
5 bedroom detached duplex for rent,"  Oral, Ikota, Lekki, Lagos","6,000,000", per annum,5
3 bedroom terraced duplex for rent,"  Ologolo, Lekki, Lagos","4,000,000", per annum,3
Office space for rent,"  Rabiu Babatunde Tinubu Road, Amuwo Odofin, Lagos","15,000,000", per annum,Office Space
Warehouse for rent,"  Alakija, Satellite Town, Ojo, Lagos","13,000", per square meter / per annum,Warehouse Space
3 bedroom flat / apartment for rent,"  Church Bus Stop, Mebanu Okoko, Okokomaiko, Ojo, Lagos","450,000", per annum,3
4 bedroom terraced duplex for rent,"  Katampe Extension, Katampe, Abuja","6,000,000", per month,4
Self contain (single rooms) for rent,"  Oral Estate, Ikota, Lekki, Lagos","1,500,000", per annum,1
1 bedroom flat / apartment for rent,"  Majek, Abijo, Lekki, Lagos","600,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Orchid Road, Lekki, Lagos","4,500,000", per annum,4
4 bedroom house for rent,"  Benin/agbor Area, Benin, Oredo, Edo","600,000", per annum,4
1 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","2,500,000", per annum,1
5 bedroom house for rent,"  Ikota, Lekki, Lagos","5,500,000", per annum,5
4 bedroom house for rent,"  Maitama District, Abuja","17,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Heroes Court, Sangotedo, Ajah, Lagos","2,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Ilasan, Lekki, Lagos","1,000,000", per annum,1
4 bedroom terraced duplex for rent,"  Orchid, Lekki, Lagos","4,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Ikotun, Lagos","550,000", per annum,3
2 bedroom flat / apartment for rent,"  Off Mekong Crescent, Maitama District, Abuja","16,000,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Old Ikoyi, Ikoyi, Lagos","20,000,000", per annum,4
5 bedroom terraced duplex for rent,"  Oniru Estate, Oniru, Victoria Island (VI), Lagos","10,000,000", per annum,5
Commercial land for rent,"  Lekki Scheme 2, Ajah, Lagos","3,000,000", per annum,Commercial land/property
Self contain (single rooms) for rent,"  Pedro, Bariga, Shomolu, Lagos","850,000", per annum,1
3 bedroom flat / apartment for rent,"  Off Ahmadu Bello Way, Victoria Island (VI), Lagos","7,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Happy Land Estate, Before Blenco, Sangotedo, Ajah, Lagos","1,400,000", per annum,2
3 bedroom flat / apartment for rent,"  Life Camp, Abuja","3,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Parkview, Ikoyi, Lagos","15,000,000",,4
Self contain (single rooms) for rent,"  Ibeju, Epe, Lagos","250,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Ibeju Epe, Awoyaya, Ibeju Lekki, Lagos","600,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Pedro, Bariga, Shomolu, Lagos","1,000,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Ocean Breeze Estate, Ologolo, Lekki, Lagos","4,000,000", per annum,4
Self contain (single rooms) for rent,"  Oroke Street, Off Mobil Road, Ilaje, Ajah, Lagos","400,000", per annum,1
3 bedroom flat / apartment for rent,"  Lekki Right Hand Side, Lekki, Lagos","6,000,000", per annum,3
3 bedroom detached bungalow for rent,"  Off Agbonyin Street, Aguda, Surulere, Lagos","2,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","3,000,000", per annum,2
1 bedroom terraced duplex for rent,"  Oroke Street, Off Mobil Road Ilaje, By Glory To God School, Ilaje, Ajah, Lagos","800,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Oniru Road, Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Onne Road, GRA Phase 2, Port Harcourt, Rivers","3,000,000", per annum,2
Plaza / complex / mall for rent,"  27 Admiralty Way, Lekki Phase 1, Lekki, Lagos","220,000", per square meter / per annum,Plaza/mall Space
4 bedroom terraced duplex for rent,"  Tm Garden, Olaleye New Town Iponri, Surulere, Lagos","5,000,000", per annum,4
5 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","12,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Ikate, Lekki Phase 1, Lekki, Lagos","5,800,000",,2
Self contain (single rooms) for rent,"  Agungi, Lekki, Lagos","600,000", per annum,1
3 bedroom flat / apartment for rent,"  Oakland Estate, Olokonla, Ajah, Lagos","2,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Gilmore, Jahi, Abuja","6,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Life Camp, Abuja","1,500,000", per annum,2
3 bedroom flat / apartment for rent,"  United Estate, Sangotedo, Ajah, Lagos","1,600,000", per annum,3
4 bedroom terraced duplex for rent,"  Off Adeniyi Jones, Ikeja, Lagos","4,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Off Freedom Way,, Lekki Phase 1, Lekki, Lagos","5,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Sangotedo, Ajah, Lagos","800,000", per annum,2
Commercial property for rent,"  Old Ikoyi, Ikoyi, Lagos","450,000", per annum,Commercial land/property
4 bedroom semi-detached duplex for rent,"  Royal Palm Drive, Osborne Phase 2, Ikoyi, Lagos","12,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Royal Palm Drive, Osborne Phase 2, Ikoyi, Lagos","7,000,000", per annum,4
Self contain (single rooms) for rent,"  Greenville Estate, Badore, Ajah, Lagos","400,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Off Chief Augustine Anozie Street., Lekki Phase 1, Lekki, Lagos","9,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","16,000,000", per annum,3
5 bedroom detached duplex for rent,"  Katampe, Abuja","9,000,000", per annum,5
2 bedroom flat / apartment for rent,"  By Living Faith Church, Jahi, Abuja","3,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Fha Maitama, Maitama District, Abuja","5,000,000", per annum,3
3 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Ajah, Lagos","4,500,000", per annum,4
Restaurant / bar for rent,"  40b Oba Dosumu Street., Ikeja GRA, Ikeja, Lagos","420,000",,Restaurant Space
1 bedroom mini flat (room and parlour) for rent,"  Beside Mayfair Garden, Awoyaya, Ibeju Lekki, Lagos","700,000", per annum,1
2 bedroom flat / apartment for rent,"  Orchid Road, Lekki, Lagos","3,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Orchid Road, Lekki, Lagos","2,000,000", per annum,1
3 bedroom flat / apartment for rent,"  Orchid Road, Lekki, Lagos","3,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Orchid Road, Lekki, Lagos","2,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Onikoyi, Ikoyi, Lagos","13,000,000", per annum,2
4 bedroom house for rent,"  Ogudu, Lagos","3,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Peninsula Gardens Estate, Sangotedo, Ajah, Lagos","1,400,000", per annum,3
5 bedroom terraced duplex for rent,"  Apo Legislative Quarters Zone E, Apo, Abuja","6,000,000", per annum,5
5 bedroom detached duplex for rent,"  In A Secured Estate, Ajah, Lagos","5,500,000", per annum,5
1 bedroom flat / apartment for rent,"  Osapa, Lekki, Lagos","2,500,000", per annum,1
2 bedroom flat / apartment for rent,"  Royal Court Lbs Lekki, Ajah, Lagos","2,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Jabi, Abuja","3,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Golden Gate Estate Lbs, Ajah, Lagos","1,700,000", per annum,2
Flat / apartment for rent,"  White Oak Estate Haris Drive, VGC, Lekki, Lagos","1,000,000", per annum,
5 bedroom detached duplex for rent,"  Destiny Estate, Abijo, Lekki, Lagos","2,500,000", per annum,5
3 bedroom flat / apartment for rent,"  Sangotedo, Ajah, Lagos","2,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Golden Gate Lbs, Ajah, Lagos","1,700,000", per annum,2
4 bedroom terraced duplex for rent,"  Lekki, Lagos","4,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Blenco Dkk Sangotedo, Olokonla, Ajah, Lagos","2,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","2,600,000", per annum,2
3 bedroom detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Glorious Estate, Gberigbe, Ikorodu, Lagos","300,000", per annum,2
3 bedroom flat / apartment for rent,"  Oral Estate, Lekki, Lagos","3,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Parkview, Ikoyi, Lagos","7,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ikoyi, Lagos","8,000,000", per annum,2
4 bedroom flat / apartment for rent,"  Ikoyi, Lagos","19,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Ikoyi, Lagos","15,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Adekunle, Yaba, Lagos","1,700,000", per annum,2
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","22,000,000", per annum,3
1 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,1
3 bedroom flat / apartment for rent,"  Phase One, Lekki, Lagos","10,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","9,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Ikoyi, Lagos","12,000,000", per annum,3
4 bedroom house for rent,"  Dideolu Estate, Victoria Island (VI), Lagos","10,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","14,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Ikoyi, Lagos","18,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","12,000,000", per annum,3
3 bedroom house for rent,"  Oniru, Victoria Island (VI), Lagos","5,000,000", per annum,3
4 bedroom house for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000",,4
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","6,000,000", per annum,2
6 bedroom detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","20,000,000", per annum,6
2 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","18,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
5 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,5
4 bedroom house for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,4
5 bedroom detached duplex for rent,"  Lekki Right, Lekki, Lagos","20,000,000", per annum,5
4 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,4
3 bedroom house for rent,"  Lekki Phase 1, Lekki, Lagos","11,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","7,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","10,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Ikoyi, Lagos","16,000,000", per annum,4
4 bedroom detached duplex for rent,"  Ikoyi, Lagos","18,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","15,000,000", per annum,3
4 bedroom detached duplex for rent,"  Ikoyi, Lagos","20,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Ikoyi, Lagos","16,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Ikoyi, Lagos","18,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Orchid, Lekki, Lagos","4,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Royal Park Estate Off Paradise Estate, Eneka, Port Harcourt, Rivers","1,300,000", per annum,2
1 bedroom flat / apartment for rent,"  Graham Avenue, Rukpokwu Road, Eneka, Port Harcourt, Rivers","450,000", per annum,1
2 bedroom flat / apartment for rent,"  Off Royal Avenue Estate Odili Road, Trans Amadi, Port Harcourt, Rivers","1,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Castle And Green Estate Shell Cooperative Eneka Link Road Off G U Ake, Eneka, Port Harcourt, Rivers","1,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Thomas Estate, Ajiwe, Ajah, Lagos","1,700,000", per annum,3
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","2,600,000", per annum,2
Self contain (single rooms) for rent,"  Owode, Ajah, Lagos","350,000", per annum,1
3 bedroom flat / apartment for rent,"  Ajiwe, Ajah, Lagos","2,100,000", per annum,3
3 bedroom flat / apartment for rent,"  Ilaje, Ajah, Lagos","3,500,000", per annum,3
Self contain (single rooms) for rent,"  Palmgrove, Shomolu, Lagos","600,000", per annum,1
5 bedroom semi-detached duplex for rent,"  Katampe Extension, Katampe, Abuja","12,000,000", per annum,5
3 bedroom flat / apartment for rent,"  Lekki Right Side, Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Off Ajose Adeogun, Victoria Island (VI), Lagos","15,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Katampe Extension, Katampe, Abuja","7,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Shell Cooperative Estate Off G U Akeh Road Eliozu, Eneka, Port Harcourt, Rivers","900,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Ajah, Lagos","1,500,000", per annum,1
3 bedroom flat / apartment for rent,"  Surulere, Lagos","2,500,000", per annum,3
4 bedroom detached duplex for rent,"  Royal Garden Estate, Ajiwe, Ajah, Lagos","5,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Ladilak, Shomolu, Lagos","1,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Royal Park Estate Shell Cooperative Eneka Link Road, Eneka, Port Harcourt, Rivers","1,200,000", per annum,2
2 bedroom flat / apartment for rent,"  Peter Odili Road Off Somitel Estate, Trans Amadi, Port Harcourt, Rivers","1,500,000", per annum,2
5 bedroom detached duplex for rent,"  G. Cappa Estate, Maryland, Lagos","16,000,000", per annum,5
4 bedroom semi-detached duplex for rent,"  Orchid, Lekki, Lagos","6,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Oribanwa, Awoyaya, Ibeju Lekki, Lagos","400,000", per annum,1
3 bedroom flat / apartment for rent,"  Orchid Hotel, Lekki, Lagos","2,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Ologunfe Busstop, Walkable Distance From Express, Awoyaya, Ibeju Lekki, Lagos","700,000", per annum,2
Commercial land for rent,"  Pedro, Gbagada, Lagos","1,200,000", per annum,Commercial land/property
1 bedroom mini flat (room and parlour) for rent,"  Ariyo, Awoyaya, Ibeju Lekki, Lagos","450,000", per annum,1
3 bedroom flat / apartment for rent,"  Ariyo, Awoyaya, Ibeju Lekki, Lagos","750,000", per annum,3
2 bedroom house for rent,"  Victoria Island (VI), Lagos","8,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Near Dankro Estate, Ojodu, Lagos","1,600,000", per annum,2
Self contain (single rooms) for rent,"  Akoka, Yaba, Lagos","550,000", per annum,1
2 bedroom flat / apartment for rent,"  Katampe, Abuja","50,000,000", per annum,2
